SessionID,SessionNumber,Day,RoomNumber,Description,Presenters,RecommendedAudience,
1,1,1,203/205,CPR/AED/ Heimlich Part 1 of 2,Rusty Ritchie and Anita Ritchie,"Retired SBCSC teacher Rusty Ritchie teaches a fast-paced CPR class from a common sense approach, that is easy to learn and remember. The class will cover everything that Indiana and Michigan require of teachers regarding CPR, the AED, the Heimlich and first aid. The class takes 2 hours. At the end of class you receive the documentation you'll need. $30 cash or check payment is required on the day of class.",Anyone who needs to meet the requirement to renew their license. Spots are limited (30).
2,1,1,206,Robust Independent Reading Time...Really!,Jennifer Sniadecki,"This session, led by school librarian Jennifer Sniadecki, will address:
WHY do we need independent reading time inside the classroom?
HOW can we host meaningful, worthwhile independent reading time in the classroom?
HOW can we assess independent reading/meet state standards?
Join Us for some reading time, tips, and a book giveaway!",All Staff
3,1,1,207,BTB - Beyond the Book,Lara Ungethum and Mark Zache,"Using rekenreks, manipulatives, and hands-on activities to engage the learner.",K-2
4,1,1,208/209,Front Office Staff Training: Identification and Enrollment Process for English Learners & Migrant Students,TBD and Julia Cordova-Gurule,"This training is required for all front office staff. During this session, SBCSC's Bilingual Services Department staff will present and review the steps to properly enroll and identify English Learners and Migrant students new to our school district.",Front Office Staff
5,1,1,211,Curriculum for Beginners,Lara Ungethum and Primary Literacy Specialists,Acquaint new teachers to their curriculum,New Teachers
6,1,1,215,Designing creative projects for summative assessments,Beckie Hernández,"Exams are a good way to identify student mastery of content, but there are other ways for students to demonstrate mastery while being creative and exhibiting collaborative and or research skills. In this session, we will design subject-specific summative project plans, including rubrics, expectations, deadline processes, and opportunities for reflection and feedback. Come with ideas of units of study for which you would like to create a summative project. Be prepared to share projects and processes that have worked for you in your classroom.",Grades 6-12 All subjects
8,1,1,217,"Mcgraw Hill, Canvas, and the Paperless Classroom",Steven Guthrie and Kathleen Czubernat,The transition to one to one devices created the opportunity for teachers to set up the paperless classroom. No more taking the time to run copies and worrying that the copier might run out of paper.  No more keeping extra copies for students that weren't there that day or who lost their copies.  Come to this session to see how you can synchronize McGraw Hill and Canvas and leave the papers behind.,All Staff
9,1,1,220,Make ChatGPT and AI Work For You,Caitlin Rappelli and Bradley Cogdell,"In this session, we will explore the capabilities of AI, such as ChatGPT, and demonstrate how it can be used to save time and improve effectiveness. We will also share best practices for integrating this technology into teaching practices.  Whether you're a seasoned educator or a new teacher, this session will provide valuable insights on how to leverage AI to be a more efficient and effective educator.",All Staff
10,1,1,225,"Customer Service Training I, II III","HR Team (Jason Zook, Jo Ellen Talos, Katie Johnson) Other members of HR (Asha Stichter, Lauren Ellis, Timothy Finnan","The Customer Service and Emotional Intelligence Trainings provide great insight on how to create a community that embraces civility, respect and care for others, while continuing to professional growth in the work space. ",All Staff
11,1,1,LGI,Sheltered Instruction Observation Protocol (SIOP): Building Background,TBD and Julia Cordova-Gurule,This is part one of a series of sessions designed to cover the eight components of the Sheltered Instruction Observation Protocol (SIOP) model. SIOP is essential to any program for English learners (EL) and helps guide teachers of ELs on how to better provide their students with access to core content concepts regardless of target language proficiency.,Teachers of English Learners
12,1,1,301,21st Century Scholars Success Workshop,"Roberto Leal, Taylor Williams","During the 21st Century Scholars Success Workshop, building teams will learn about processes, procedures, and best practices for 21st Century Scholars. We will discuss district goals, set milestones, and work on generating effective incentives for middle school students.","Middle School Teachers, School Counselors & Admin "
13,1,1,303,Practical Life for Elementary School Students,Bill Strunk and Melinda Huff,"As teachers, teaching practical life skills can easily be incorporated into your content curriculum.  It can be planning a field trip, planning community service and much more.  During this time we will demonstrate how practical life can be used for focus and integrated into the curriculum.",Elementary Teachers
14,2,1,203/205,CPR/AED/ Heimlich Part 2 of 2,Rusty Ritchie and Anita Ritchie,"Retired SBCSC teacher Rusty Ritchie teaches a fast-paced CPR class from a common sense approach, that is easy to learn and remember. The class will cover everything that Indiana and Michigan require of teachers regarding CPR, the AED, the Heimlich and first aid. The class takes 2 hours. At the end of class you receive the documentation you'll need. $30 cash or check payment is required on the day of class.",Anyone who needs to meet the requirement to renew their license. Spots are limited (30).
15,2,1,206,"""What Happened?"" The power of leading through listening",Liz Zimmerman,"""What happened?"" is an incredibly simple and yet very powerful question. In this session, I will share with you how I have used these two words to deescalate, maintain authority, create relationships, and build trust. Together, we will discuss problematic real-world situations in the classroom and how one might use ""what happened?"" (and other listening-focused questions) to arrive at the desired outcome. We will discuss the psychology behind why this works - and possible ways to use it in your personal life! ",6-12 teachers; New teachers; teachers interested in easy ways to build relationships and develop trust in students
16,2,1,207,Who's in the Driver's Seat? Embracing Student Driven Learning,Jennifer Ledford,"When a teen sits behind the wheel for the first time, we feel apprehension and almost a loss of control, yet the benefits of their independence outweighs our fears in that moment. The same can be said for putting students in the driver seats for their learning. It can be scary but vital in empowering them to seek more independent learning opportunities. 
In this session, I will provide road map for student centered learning including quick and easy ways to implement this type of learning in your classroom. So grab your sunglasses and your favorite tunes and let's go for a ride!",K-12 Teachers
17,2,1,211,Tell Me Something Good,"Erin Wagler, Monica Garvey and Linnea Martinez","There are so many great things happening in our schools, but often the negative stories can appear to dominate the news. Author George Couros advocates that, ""We need to make the positive so loud that the negative becomes impossible to hear."" 

But how can we do that?

The Communications Department invites you to learn ways to spread the word about your school's accomplishments. Let's celebrate our schools one story at a time!","Teachers, principals, social media managers, program directors, coaches"
18,2,1,215,Let's Get Visual,Sarah Martin and Maggie Dosch,"We all know that being verbally literate is important for students in the 21st century, but what about being visually literate? We're bombarded with images constantly yet spend very little time exercising our visual literacy muscles. Join Raclin Murphy Museum of Art Curator of Education Sarah Martin on an exploration of visual literacy, what we can do to strengthen our visual literacy skills, and how an art museum can help. You will leave this session with information on visual literacy, techniques to help your students develop it, and a fun interdisciplinary activity you can use with your students.",K-12 Art Teachers
20,2,1,217,Canvas for Beginners,Jené Hartman and Dianna Christopher,"This course will take you through the very basics of starting up a Canvas classroom. We will create a course icon, set up basic classroom menus, learn how to create pages and modules to house assignments, and simple formatting. If time allows, we will share some of our most valuable tricks to getting started successfully.",4-12 Staff
